file_number,office,shift_granted,admission_date,condition,shift_date,egress_date,technical,detail
p-733617/19,delitos economicos,si,30/7/2019,archivado,,5/8/2019,cn,retira aux. laura avila de ufi economicos
p-729959/19,violencia genero,si,,se cae turno,,,,
p-701642/19,violencia genero,si,18/7/2019,falta entregar,,,lo,
p-40384/18,primer juzgado penal colegiado,no,29/7/2019,archivado,,1/8/2019,lo,retira aux rodrigo bustos
p-26228/19,integridad sexual,si,1/8/2019,archivado,,7/8/2019,cn,retira aux osvaldo cordon
p-714696/19,homicidios,si,31/7/2019,archivado,,7/8/2019,jv,retira dr. oscar malla de homicidios
p-731384/19,"robos, hurtos y sustraccion automotores",no,30/7/2019,archivado,,14/8/2019,ev,retira auxiliar adminsitrativa grabiiela mar�n
p-20560/19 quinto,delitos economicos,no,30/7/2019,archivado,,30/7/2019,lo,copia de dvd del informe que hizo jp
p-722568/19 cuarto,delitos economicos,no,30/7/2019,archivado,,20/8/2019,jv,retira aux. laura avila de economicos
p-83020/18,ogap 2,si,5/8/2019,archivado,,6/8/2019,cn,retira aux. diego cappa de ogap 2
979,"robos, hurtos y sustraccion automotores",si,31/7/2019,falta comenzar,,,,
p-734825/19,delitos economicos,si,2/8/2019,archivado,,5/5/2019,jv,retira aux. clarisa zeballos
p-501204/18,alvear,si,,turno otorgado,,,,
p-708261/19,san martin,si,6/8/2019,archivado,,15/8/2019,jv,retira aux. ariel morcos de despacho tercera circunscripci�n judicial
p-726979/19,delitos economicos,si,2/8/2019,archivado,,9/8/2019,ev,retira auxiliar daniel feltrer de delitos economicos
p-730083/19,san rafael,no,1/8/2019,archivado,,22/8/2019,cn,retira juan pablo mart�nez
p-729064/19,san rafael,no,1/8/2019,archivado,,15/8/2019,ev,retira juan pablo mart�nez
p-730561/19,san rafael,no,1/8/2019,archivado,,22/8/2019,lo,retira juan pablo mart�nez
p-735354/19,"robos, hurtos y sustraccion automotores",si,5/8/2019,archivado,,7/8/2019,lo,entregado en mesa de entradas de ufi robos y hurtos
p-61390/17 tercera,homicidios,si,2/8/2019,archivado,,7/8/2019,jv,retira dr. oscar malla de homicidios
p-81763/18 segundo turno,san martin,si,,se cae turno,,,lo,no lo trajeron
p-722345/19 segundo turno,"robos, hurtos y sustraccion automotores",si,6/8/2019,archivado,,14/8/2019,lo,retira aux. jorge naranjo
p-721246/19,violencia genero,si,9/8/2019,archivado,,15/8/2019,lo,retira juan pablo martinez
p-74300/18,san rafael,si,9/8/2019,archivado,,15/8/2019,jv,retira juan pablo martinez
p-736559/19,"robos, hurtos y sustraccion automotores",si,6/8/2019,archivado,,21/8/2019,lo,entregado en mesa de entradas de ufi robos y hurtos
p-735675/19,valle de uco,si,12/8/2019,archivado,,30/9/2019,cn,retira aux. rodrigo bincheta de ufi valle de uco
p-723105/19 segundo,integridad sexual,si,12/8/2019,archivado,,14/8/2019,jv,retira aux. adriana rio
p-726397/19,san rafael,si,,se cae turno,,,lo,no lo trajeron
p-733622/19,valle de uco,si,,turno otorgado,,,,
