file_number,office,shift_granted,admission_date,condition,shift_date,egress_date,technical,detail
p-38432/16,oficina fiscal 13,si,26/4/2016,archivado,,2/5/2016,cn,retira aux marina romero de ofi 13
18809,cuarto juzgado instrucci�n alvear,no,18/4/2016,archivado,28/4/2016,10/5/2016,cn,retira juan harazik
18836,cuarto juzgado instrucci�n alvear,no,18/4/2016,archivado,28/4/2016,10/5/2016,cn,retira juan harazik
18101 tercera,cuarto juzgado instrucci�n alvear,no,18/4/2016,archivado,28/4/2016,10/5/2016,cn,retira juan harazik
18370,cuarto juzgado instrucci�n alvear,no,18/4/2016,archivado,28/4/2016,10/5/2016,cn,retira juan harazik.
p-21837/16 segunda,capital,si,21/4/2016,archivado,,21/12/2016,cn,retira aux. feltrer daniel de ufi capital instrucci�n
p-63915/15,godoy cruz,si,,falta comenzar,,,cn,
p-43058/16,oficina fiscal 9,no,29/4/2016,archivado,,30/4/2016,cn,se entrega en oficina fiscal nro. 9. recibe aux adm alejo izura
p-43058/16 segunda,oficina fiscal 9,no,2/5/2016,archivado,,2/5/2016,cn,recibe aux claverol de mesa de entradas ufi
p-41776/16,capital,si,,,,,,
p-43273/16,las heras,si,3/5/2016,archivado,,11/5/2016,cn,retira aux victoria ufi lh
fmz 6847/2015,fiscal�a feral san rafael,no,3/5/2016,archivado,,20/5/2016,cn,retira polic�a estafeta distrital nro. 2 dina flores
p-37180/16,maipu-lujan,si,6/5/2016,archivado,,23/5/2016,cn,retira aux. franco leonelli de ufi 5
p-101829/15,especial,no,5/5/2016,archivado,,10/5/2016,cn,retira aux javier sosa de ufi especial
p-137192/15,godoy cruz,si,13/5/2016,archivado,,,cn,recibe en juzgado de garantias peroni el 16/05/16 y retira axu. desimone
p-48517/16,oficina fiscal 8,si,18/5/2016,,,23/5/2016,cn,retira aux. emanuel hidalgo de ofi. 8. recibe aux. costanzo 3� de garant�as el 23/05/16
p-28238/16,maipu-lujan,si,12/5/2016,archivado,,16/5/2016,cn,retira aux betiana dobrosky
p2-114800/15,primer juzgado instrucci�n san rafael,no,10/5/2016,archivado,17/5/2016,18/5/2016,cn,retira juan harazik.
p-45194/16,especial,si,10/5/2016,archivado,,16/5/2016,cn,recibe en juzgado de garantias peroni el 16/05/16 y retira javier de la especial (ordenanza)
p-41775/16,capital,si,11/5/2016,archivado,,5/7/2016,cn,retira aux estefania meli
p-47071/16,oficina fiscal 5,si,16/5/2016,archivado,,15/9/2016,cn,recibe en juzgado de garantias peroni el 16/05/16 recibe aux. gonzalo garriga
p2-119449/16,primera fiscalia correccinal san rafael,no,10/5/2016,archivado,23/5/2016,24/5/2016,cn,retira juan harazik
p-43860/16,capital,si,11/5/2016,archivado,,18/5/2016,cn,retira aux carlos muriel
p-48766/16,oficina fiscal 8,si,18/5/2016,archivado,,23/5/2016,cn,retira aux. emanuel hidalgo de ofi. 8. recibe aux. costanzo 3� de garant�as el 23/05/16
p-48503/16,oficina fiscal 8,si,17/5/2016,archivado,,23/5/2016,cn,retira aux. emanuel hidalgo de ofi. 8
p-43138/16,guaymallen,si,16/5/2016,archivado,,,cn,retira aux frias rodrigo
p-46623/16,oficina fiscal san martin,no,16/5/2016,archivado,,1/6/2016,cn,"retira aux mayor pp cesar acaraz uid zona este. retira copias de informe el aux. pp fernando chirino, el d�a 09/11/16. "
p-60835/13,capital,no,16/5/2016,archivado,,,cn,copia de dvds de los autos- retira eduardo suraga -aux. 19/05/2016
p-41228/16,especial,si,19/5/2016,archivado,,31/10/2016,lo,"falta terminar los cpu netbook y all in one. retira  todo, celulares y computadoras fabian mora ordenanza de ufi especial"
p-77896/14,especial,si,,,,,,
p-19009/16,capital,no,23/5/2016,archivado,,23/5/2016,cn,retira aux. luis echenique.
p-19009/16 segunda,capital,no,23/5/2016,archivado,,23/5/2016,cn,retira aux. luis echenique.
p-51521/16,oficina fiscal san martin,no,24/5/2016,archivado,,1/6/2016,cn,retira aux mayor pp cesar acaraz uid zona este
p-41250/16,oficina fiscal 9,si,23/5/2016,archivado,,30/5/2016,cn,retira aux. cristian bhchrucker
p2-120490/16,tercer juzgado instrucci�n san rafael,no,23/5/2016,archivado,31/5/2016,1/6/2016,cn,retira juan harazik. recibido firmado  el 10/06/16
p-51588/16,oficina fiscal san martin,no,26/5/2016,archivado,,1/6/2016,cn,retira aux mayor pp cesar acaraz uid zona este
p-51519/16,oficina fiscal san martin,no,26/5/2016,archivado,,1/6/2016,cn,retira aux mayor pp cesar acaraz uid zona este
p-52918/16,oficina fiscal 19,si,30/5/2016,archivado,,31/5/2017,cn,entregado personalmente a mesa de entradas de la ufi correccional
p2-119906/16,segundo juzgado instrucci�n san rafael,no,31/5/2016,archivado,10/6/2016,13/6/2016,lo,retira juan harazik. recibido en mesa de entradas del juzgado. 
p2-117577/16,segundo juzgado instrucci�n san rafael,no,31/5/2016,archivado,10/6/2016,13/6/2016,cn,retira juan harazik. recibido en mesa de entradas del juzgado. 
p-137715/15,capital,si,9/6/2016,archivado,,10/6/2016,lo,
p-55164/16,oficina fiscal 8,si,1/6/2016,archivado,,14/6/2016,cn,retira aux. emanuel hidalgo
p-9233/16,primer juzgado flagrancia,si,2/6/2016,archivado,,16/6/2016,cn,retira aux. gui�azu rosmida
p-74316/15,maipu-lujan,si,9/6/2016,archivado,,13/6/2016,lo,entregado en mesa de entradas de ufi maip�-luj�n
p-58582/16,especial,no,7/6/2016,archivado,,7/6/2016,lo,retira aux. vicencio eduardo
p-57581/16,oficina fiscal 5,si,8/6/2016,archivado,,13/6/2016,cn,retira ayudante fiscal martin castro
p-56211/16,oficina fiscal 3,no,9/6/2016,archivado,,16/6/2016,lo,retira aux raul vega oficina 3
p-55204/16,guaymallen,si,6/6/2016,archivado,,9/6/2016,lo,entregado en mesa de entradas de ufi guaymall�n
p-43213/16,guaymallen,si,,archivado,,16/6/2016,lo,entregado en mesa de entradas de ufi guaymall�n
p2-120649/16,tercer juzgado instrucci�n san rafael,no,10/6/2016,archivado,7/7/2016,29/7/2016,cn,retira juan harazik
18859,cuarto juzgado instrucci�n alvear,no,10/6/2016,archivado,16/6/2016,23/6/2016,cn,retira juan harazik. 05/07/16 se recibe oficio firmado por despacho
p-59526/16,oficina fiscal 3,no,10/6/2016,archivado,,16/6/2016,cn,retira aux raul vega oficina 3
p-58582/16 segunda,especial,no,10/6/2016,archivado,,13/6/2016,lo,
p-77896/14 segunda,especial,si,16/6/2016,archivado,,27/6/2016,lo,retira aux. trombatore 
p-19374/16,capital,si,16/6/2016,archivado,,23/1/2017,cn,recibido en juzgado de garant�as por perroni el 21/12/16 a las 13:00. recibido en mesa de entradas de la unidad
p2-120845/16,primer juzgado instrucci�n san rafael,no,16/6/2016,archivado,24/6/2016,28/6/2016,lo,retira juan harazik. recibido en mesa de entradas del juzgado. 
p2-120433/16,segundo juzgado instrucci�n san rafael,no,16/6/2016,archivado,7/7/2016,,cn,retira juan harazik
p2-119960/16,primer juzgado instrucci�n san rafael,no,16/6/2016,archivado,24/6/2016,28/6/2016,cn,retira juan harazik. recibido en mesa de entradas del juzgado. 
p2-120649/16 segunda,tercer juzgado instrucci�n san rafael,no,16/6/2016,archivado,7/7/2016,29/9/2016,cn,retira juan harazik
p-62234/16,oficina fiscal 8,si,22/6/2016,archivado,14/9/2016,,cn,retira aux. lili mi�o
p-62593/16,oficina fiscal 1,si,22/6/2016,archivado,,29/6/2016,cn,retira aux. leonardo contrera
p-59269/16,flagrancia,si,22/6/2016,archivado,,27/6/2016,lo,retira aux. laonardo vai
p-63124/16,oficina fiscal 16,no,24/6/2016,archivado,,27/6/2016,cn,retira sr. fiscal galdo andreoni
p-34820/16 segunda,oficina fiscal junin,no,27/6/2016,archivado,,5/7/2016,cn,retira aux. gabriel salvador de choferes
p-58095/16,san martin,no,23/6/2016,archivado,,7/7/2016,cn,retira aux. 1� pp. beritognolo
p-28738/16,especial,si,23/6/2016,archivado,,18/8/2016,cn,retira fabian mora
p-52126/16,godoy cruz,si,29/6/2016,archivado,,4/7/2016,lo,mesa de entradas ufi godoy cruz
p-17033/14,flagrancia,si,1/7/2016,archivado,,3/10/2016,lo,retira aux. adm. leandro gigena - ufi flagrancia
p-21464/16,capital,si,24/6/2016,archivado,,21/12/2016,cn,retira aux. feltrer daniel de ufi capital instrucci�n
18882,pimer juzgado instrucci�n general alvear,no,1/7/2016,archivado,7/7/2016,28/7/2016,lo,retira juan harazik. recibido el 28/07/16 por jefe de mesas de entradas de fiscalia dante mateo plaza
p2-120998/16,segunda fiscal�a correccional san rafael,no,1/7/2016,archivado,7/7/2016,,cn,retira juan harazik
p2-121103/16,segundo juzgado instrucci�n san rafael,no,1/7/2016,archivado,7/7/2016,26/7/2016,cn,retira juan harazik
p2-120731/16,tercer juzgado instrucci�n san rafael,no,1/7/2016,archivado,7/7/2016,26/7/2016,cn,retira juan harazik
18958,cuarto juzgado instrucci�n alvear,no,1/7/2016,archivado,7/7/2016,28/7/2016,cn,retira juan harazik. recibido el 28/07/16 por jefe de mesas de entradas de fiscalia dante mateo plaza
p-52551/16,guaymallen,si,4/7/2016,archivado,7/7/2016,,jp,retira aux administrativa mariana degiorgi
p-37639/16 segunda,maipu-lujan,no,6/7/2016,archivado,,7/7/2016,cn,retira sr. fiscal galdo andreoni
p-14481/16,maipu-lujan,si,12/9/2016,archivado,,14/9/2016,cn,retira aux. eduardo paez
p2-120998/16 segunda,segunda fiscalia correccinal san rafael,no,7/7/2016,archivado,7/7/2016,29/7/2016,cn,
p2-121111/16,segundo juzgado instrucci�n san rafael,no,7/7/2016,archivado,29/7/2016,1/8/2016,cn,retira juan arazik. recibio por jefe de mesa de entradas
p-63854/16,oficina fiscal 3,no,7/7/2016,archivado,,23/1/2017,cn,recibe carina de mesa de entradas unidad
p-64802/16,oficina fiscal san martin,no,13/7/2016,archivado,,22/9/2016,cn,retira salvador despacho zona este ministerio publico
p-69357/16,oficina fiscal 1,si,13/7/2016,archivado,,19/7/2016,cn,retira aux. alejandro fernandez de mesa de entradas ufi capital
p-69979/16,guaymallen,no,15/7/2016,archivado,,15/7/2017,cn,retira aux. veronica namuncura. de mesa de entradas ufi
p-69858/16,oficina fiscal 9,si,15/7/2016,archivado,,28/12/2016,cn,entregado en mesa de entradas de guaymall�n
p-12477/16,capital,si,18/7/2016,archivado,,19/7/2016,cn,entregado en mesa de entradas ufi. recibe osvaldo cord�n
f-7/16,primer juzgado instrucci�n san rafael,no,20/7/2016,archivado,29/7/2016,1/8/2016,cn,
p2-116758/16,primer juzgado instrucci�n san rafael,no,1/7/2016,archivado,19/9/2016,20/9/2016,lo,se realiza acta por separado de los dispositivos y falta realizar sobre el transcodificador. recibe transcodificador secretaria del juzgado
p2-116758/16 segunda,primer juzgado instrucci�n san rafael,no,1/7/2016,archivado,29/7/2016,1/8/2016,cn,retira juan arazik. recibio por jefe de mesa de entradas
p-67712/16,oficina fiscal 4,si,,archivado,,,lo,mesa de entradas ufi godoy cruz
p-68845/16,oficina fiscal 5,si,26/7/2016,archivado,,8/9/2016,lo,retira aux. franco persico
p-7618/16,valle de uco,si,,archivado,,8/8/2016,lo,mesa de entradas ufi las heras-lavalle
p-72795/16,capital,si,,se cae turno,,,lo,no lo trajeron
p2-120443/16,segundo juzgado instrucci�n san rafael,no,,archivado,7/7/2016,26/7/2016,cn,
p2-120998/16 tercera,segunda fiscalia correccinal san rafael,no,7/7/2016,archivado,29/7/2016,1/8/2016,cn,retira juan arazik. recibio por jefe de mesa de entradas
19022,cuarto juzgado instrucci�n alvear,no,29/7/2016,archivado,,11/8/2016,lo,recibe jefe mesa de entradas dante mateo plaza
p-73166/16,capital,si,,archivado,,10/8/2016,lo,mesa de entradas ufi capital
p-119673/14,tercera c�mara del crimen,no,1/8/2016,archivado,,,lo,
p-75770/16,valle de uco,si,,archivado,,12/8/2016,lo,"solicitado turno por ufi las heras (secr. instrucci�n), sin embargo la respuesta es elevada a la of n� 05, seg�n lo dispuesto por juzgado de garant�as"
p-59559/16,godoy cruz,si,,archivado,,25/8/2016,lo,recibe auxiliar de mesa de entradas correccional
p-23131/16,oficina fiscal rivadavia,no,2/8/2016,archivado,,16/8/2016,lo,retira el se�or fiscal dr. carlos giuliani personalmente a la hora 09:00
p-76711/16,oficina fiscal 15,no,4/8/2016,archivado,,9/8/2015,lo,se entrego con secuestro en el 3er juzgado de garant�as
p-72075/16,guaymallen,si,3/8/2016,archivado,,,lo,mesa de entradas ufi guaymall�n
p-79136/16,oficina fiscal 19,si,9/8/2016,archivado,,11/8/2016,lo,retira ayudante fiscal dr. carlos sabalua a las 19:00hs.
p-79890/16,oficina fiscal 6,si,,se cae turno,,,lo,no lo trajeron
p-51682/15 segundo turno,flagrancia,si,,se cae turno,,,lo,no lo trajeron
295/16,segunda fiscal�a penal menores - san rafael,no,9/8/2016,archivado,26/8/2016,31/8/2016,cn,
19005,cuarto juzgado instrucci�n alvear,no,9/8/2016,archivado,26/8/2016,9/9/2016,cn,
p-67309/16,guaymallen,no,10/8/2016,archivado,,11/8/2016,lo,
p-75646/16,flagrancia,si,5/8/2016,archivado,,27/9/2016,cn,"recibe jefe de mesa de entradas bernal en tercero de garant�as el 05/09/16. retira javier sosa, ordenanza de flagrancia"
p-69023/16,valle de uco,si,19/8/2016,archivado,,25/8/2016,lo,recibe auxiliar de mesa de entradas
p-64387/16,oficina fiscal rivadavia,si,14/9/2016,archivado,,22/9/2016,cn,primer turno para el 17/08/16 a las 08:30hs. segundo turno para el 15/09/16 a las 08:00. retira salvador despacho zona este
p-76024/16,valle de uco,si,17/8/2016,archivado,,18/8/2016,cn,retira aux adrian ayles
p-80354/16,oficina fiscal 8,si,17/8/2016,archivado,,22/8/2016,cn,retira aux. emilia claverol
p-31264/16,guaymallen,no,19/8/2016,archivado,,31/8/2016,cn,retira aux. romina dist�fano
p2-119817/16,tercer juzgado instrucci�n san rafael,no,22/8/2016,archivado,19/9/2016,23/9/2016,lo,recibido el 20/09/16 en juzgado por jefe de mesa de entradas
p-81914/16,oficina fiscal 4,si,18/8/2016,archivado,,22/8/2016,cn,retira ayudante fiscal dra. mariana gutierrez
p-50870/16,oficina fiscal 8,si,,archivado,,14/9/2016,lo,retira aux. lili mi�o
p-21160/16,oficina fiscal 5,si,23/8/2016,archivado,,8/9/2016,cn,retira aux. franco persico
p-56190/16,godoy cruz,si,23/8/2016,archivado,,24/8/2016,cn,recibe mesa de entradas unidad correccional
p-63015/16,capital,si,24/8/2016,archivado,,25/8/2016,lo,recibe mesa de entradas unidad
p-90446/13,especial,no,9/8/2016,archivado,,6/9/2016,lo,retira aux. administrativa micaela aguilar
p-82549/16,valle de uco,si,,archivado,,,lo,
p-84372/16,oficina fiscal rivadavia,si,,archivado,,22/9/2016,lo,retira salvador despacho zona este ministerio publico
p-86424/16,oficina fiscal 5,si,,archivado,,8/9/2016,lo,retira aux. franco persico
p-73924/16,maipu-lujan,si,,archivado,,,lo,
18833,cuarto juzgado instrucci�n alvear,no,26/8/2016,archivado,19/9/2016,27/9/2016,lo,recibido por jefe de mesa de entradas.
p-69668/16,especial,no,29/8/2016,archivado,,30/8/2016,cn,se realiza solo extracci�n de un video. retira aux ana allende
p2-118958/16,tercer juzgado instrucci�n san rafael,no,26/8/2016,archivado,19/9/2016,23/9/2016,cn,recibido el 20/09/16 en primera fiscalia correccional
p-84218/16,oficina fiscal 11,si,25/8/2016,archivado,,30/8/2016,cn,recibe aux. eduardo paez
p-82958/16,oficina fiscal san martin,no,26/8/2016,archivado,,20/9/2016,cn,retira aux. mayor miriam araya
p-37904/16,oficina fiscal san martin,no,2/9/2016,archivado,,22/9/2016,cn,retira salvador despacho zona este ministerio publico
p-30556/16,capital,si,1/9/2016,archivado,,6/9/2016,cn,reitra aux. administrativa m. gioia
p-33890/16,godoy cruz,si,7/9/2016,archivado,,8/9/2016,lo,se cae turno no trajeron el celular
p-72795/16 segundo turno,capital,si,,archivado,,,lo,
p-68886/16,especial,si,7/9/2016,archivado,,15/9/2016,lo,"el 09/09 se consulta a aux ana alende, porque la extraccion se realizo antes de la fecha de turno, consultando la auxiliar con el se�or secretario, el cual informa que no hay inconvenientes. retira fabian mora"
p-43213/16 segunda,guaymallen,si,,sin efecto,,,lo,turno anulado por aux. laura cona el 7/9/16
p-89416/16,oficina fiscal 5,si,8/9/2016,archivado,,15/9/2016,lo,recibe aux. gonzalo garriga
p-92524/16,oficina fiscal 8,no,11/9/2016,archivado,,11/9/2016,cn,"se retira por oficina fiscal nro. 8 el tel�fono y luego se entrega en la misma oficina, recibiendo el ayudante fiscal jorge vitale"
p-71986/16,oficina fiscal 9,si,13/9/2016,archivado,,,lo,mesa de entradas de guaymall�n
p-91943/16,oficina fiscal 10,si,13/9/2016,archivado,,23/9/2016,cn,ingresa el 13/09/16 11:20hs.  retira dr. inella
p-94429/16,especial,no,15/9/2016,archivado,,19/9/2016,lo,"retira aux. administrativo pablo quiroga, entrega jp"
p-84645/16,oficina fiscal rivadavia,no,16/9/2016,archivado,,22/9/2016,cn,retira salvador despacho zona este ministerio publico
p-18607,cuarto juzgado instrucci�n alvear,no,1/7/2016,archivado,19/9/2016,27/9/2016,cn,"el dia 23/09/16 se env�a la notebook con cargador, ya que el 19/09/16 se enviaron los telefonos sin la laptop pero con el informe tecnico. retira juan arazik. 30/09/16 recibo s�lo copia del recibo de entrega de la notebook con fecha de recibo 27/09/16 por mesa de entradas."
p-56190/16 segunda,godoy cruz,si,21/9/2016,archivado,,27/9/2016,lo,mesa de entradas ufi godoy cruz-correccional
p-4559/16 segunda,especial,no,22/1/2016,archivado,,19/9/2016,cn,"retira aux. administrativo pablo quiroga, entrega jp"
p-95419/16,oficina fiscal 9,si,21/9/2016,archivado,,15/11/2016,cn,retira aux cristian buchrucker
p-90716/16,oficina fiscal 4,si,22/9/2016,archivado,,27/9/2016,cn,retira aux. roux oficina fiscal nro. 4
p2-124158/16,primer juzgado instrucci�n san rafael,si,28/9/2016,archivado,17/10/2016,18/10/2016,cn,retira juan arazik. recibio por jefe de mesa de entradas. 19/07/18 se env�a informe de geoposicionamiento por e-mail y 26/07/18  retira tel�fonos jp martinez.
p-81722/16,capital,no,20/9/2016,archivado,,22/9/2016,cn,retira aux. celeste cabrera
p-85262/16,capital,si,20/9/2016,archivado,,22/9/2016,cn,retira aux. celeste cabrera
p-64898/16,san martin,no,22/9/2016,archivado,,27/9/2016,cn,retira salvador despacho zona este ministerio publico
p-49270/16,godoy cruz,si,26/9/2016,archivado,,5/10/2016,lo,mesa de entradas ufi godoy cruz (tel�fono) para fecha 30/09 y entregado en juzgado de garant�as informe para fecha 05/10/2016
p2-124244/16,segunda fiscalia correccinal san rafael,no,23/9/2016,archivado,30/9/2016,3/10/2016,cn,retira juan harazik. recibido por mesa de entradas juzgado. ricardo salinas
p-89686/16,oficina fiscal 6,si,23/9/2016,archivado,,17/11/2016,cn,retira aux. ayelen thierry de ufi lh lav.
p-19099,cuarto juzgado instrucci�n alvear,no,19/9/2016,archivado,30/9/2016,19/10/2016,cn,retira juan harazik. recibido por jefe de mesa de entradas
p-2690/15,valle de uco,si,,archivado,,,lo,mesa de entradas ufi las heras-lavalle correccional
p-94180/16,oficina fiscal 17,si,27/9/2016,archivado,,4/10/2016,lo,recibe aux. patricia vazquez
p-76725/16,maipu-lujan,si,29/9/2016,archivado,,5/10/2016,lo,recibido informe el 05/10/2016 en juzgado de garant�as n� 03 por jefe de mesa de entradas y  tel�fono celular recibido por mesa de entradas de ufi maip�-luj�n
p-97026/16,homicidios,no,27/9/2016,archivado,,,lo,retira aux. martin viale
p-97026/16 segunda,homicidios,no,27/9/2016,archivado,,,cn,retira aux. martin viale
p-92466/16,oficina fiscal 8,si,29/9/2016,archivado,,18/10/2016,lo,retira aux. aisha gonzalez
p-82147/16,godoy cruz,si,28/9/2016,archivado,,30/9/2016,cn,retira aux. seiko maehama
p-96071/16,san martin,no,28/9/2016,archivado,,9/11/2016,lo,retira aux pp fernando chirino de uid zona este
p-76024/16 segunda,valle de uco,si,29/9/2016,archivado,,30/9/2016,lo,recibe aux. roberta quiroga
p-95269/16,automotores,si,29/9/2016,archivado,,19/10/2016,cn,retira ordenanza javier de ufi especial
p-1185/16,san martin,no,30/9/2016,archivado,,9/11/2016,lo,retira aux pp fernando chirino de uid zona este
p-86657/16,valle de uco,si,11/10/2016,archivado,,13/10/2016,cn,retira aux sampirisi estefania
p-76024/16 tercera,valle de uco,si,4/10/2016,archivado,,1/11/2016,cn,retira aux arian ailes
p-91022/16,oficina fiscal 18,si,12/10/2016,archivado,,1/11/2016,lo,mesa de entradas guaymall�n
p-91800/16,capital,si,14/10/2016,archivado,,25/10/2016,lo,
p-99545/16,oficina fiscal 9,si,,se cae turno,,,lo,no lo trajeron
p-87442/16,guaymallen,no,4/10/2016,archivado,,19/10/2016,lo,mesa de entradas ufi guaymall�n
p-101128/16,capital,no,6/10/2016,archivado,,6/10/2016,lo,recibe auxiliar paula sanchez
p-100985/16,automotores,si,12/10/2016,archivado,,19/10/2016,lo,retira aux paula sanchez de ufi homicidios
p-96493/16,oficina fiscal rivadavia,si,17/10/2016,archivado,,15/11/2016,cn,retira aux. policia luis pe�a. se env�a 2 celulares y una netbook de conectar igualdad
p-97026/16,homicidios,si,11/10/2016,archivado,,13/10/2016,lo,retira auxiliar mayor pp. ariel ficara de ufi homicidios en acta y plantilla figura como 94429/16 ya que estaba mal el pedido
p-78234/16,godoy cruz,si,24/10/2016,archivado,,28/6/2017,cn,retira aux. fernando pe�aranda. solo entrega de celulares.
p-98916/16,homicidios,no,14/10/2016,archivado,,18/10/2016,cn,reita aux admin. paula sanchez de ufi homicidios fiscal�a n� 18
p-97026/16 tercera,homicidios,no,14/10/2016,archivado,,1/12/2016,cn,retira aux adrian hidalgo de ufi homicidios.
p2-79052/13,tercer juzgado instrucci�n san rafael,no,17/10/2016,archivado,3/11/2016,4/11/2016,cn,retira juan arazik. recibio por jefe de mesa de entradas
p2-119923/16,tercer juzgado instrucci�n san rafael,no,17/10/2016,archivado,16/3/2017,17/3/2017,cn,retira juan harazink. recibe pedro rios aux de mesa de entradas del 3� juzgado de instrucci�n
p-188343/15,juzgado instrucci�n en lo penal 2 villa mercedes,no,17/10/2016,archivado,,18/10/2016,lo,
p-103019/15,quinta c�mara del crimen,no,18/10/2016,archivado,,18/10/2016,cn,"recibe raul bustos, relator de la c�mara"
p-95827/16,homicidios,si,29/9/2016,archivado,,19/10/2016,cn,retira aux laura avila
p-104171/16,oficina fiscal 2,si,24/10/2016,archivado,,15/11/2016,lo,retira gisela galdabiazo
p2-124289/16,segunda fiscal�a correccional san rafael,no,,archivado,24/10/2016,25/10/2016,lo,retira juan arazik. recibio por jefe de mesa de entradas
p-98916/16 segunda,homicidios,no,14/10/2016,archivado,,19/10/2016,cn,retira aux paula sanchez de ufi homicidios
p-102616/16,oficina fiscal san martin,no,19/10/2016,archivado,,10/11/2016,lo,retira chofer zalazar
a-2126,procuraci�n general,no,19/10/2016,falta entregar,,,cn,
p2-121942/16,primer juzgado instrucci�n san rafael,no,,archivado,24/10/2016,25/10/2016,lo,retira juan arazik. recibio por jefe de mesa de entradas
p-103019/15 segunda,quinta c�mara del crimen,no,21/10/2016,archivado,,,lo,recibe dra. natalia vargas
p-33299/16,san martin,no,21/10/2016,archivado,,9/11/2016,lo,retira aux pp fernando chirino de uid zona este
p-106096/16,homicidios,si,25/10/2016,archivado,,25/10/2016,cn,retira aux. mart�n viale
p-107035/16,oficina fiscal 1,si,27/10/2016,archivado,,30/11/2016,lo,mesa de entradas de capital
p-102626/15,guayamallen,si,6/10/2016,archivado,,,lo,mesa de entradas de guaymall�n
p-101156/16,oficina fiscal 13,si,26/10/2016,archivado,,23/1/2017,cn,recibido por mesa de entradas de la unidad
p-105725/16,oficina fiscal 8,si,31/10/2016,archivado,,5/1/2017,lo,mesa de entradas de guaymall�n
p-78296/16,maipu-lujan,si,26/10/2016,archivado,,14/11/2016,cn,retira aux. adm. godoy de ufi
p-105634/16,oficina fiscal 9,si,25/10/2016,archivado,,15/11/2016,cn,retira aux. cristian bhchrucker
p-105935/16,oficina fiscal 8,si,1/11/2016,archivado,,23/1/2017,cn,recibido por mesa de entradas de la unidad
p-88951/16,santa rosa,si,1/11/2016,archivado,,28/3/2017,cn,reciibdo por salvador gabriel (despacho)
p-102054/16,godoy cruz,si,,se cae turno,,,lo,hable con gabriela no ten�an el expediente
p-102829/16,oficina fiscal san martin,no,2/11/2016,archivado,,9/11/2016,cn,retira aux pp fernando chirino de uid zona este
p-103365/16,maipu-lujan,si,,archivado,,8/11/2016,lo,mesa de entradas maip�-luj�n
p-95484/16,guaymallen,si,4/11/2016,archivado,,10/3/2017,cn,"se recibe en la fecha indicada, pero se recibe llamada del fiscal solicitando se realice s�lo la del tel�fono el 04/11/16. se deja constancia de todo en copia. retira telefono solamente aux claverol el d�a 04/11/16. 09/11/16 se finaliza extraccion de tablet. queda finalizar all in one. finalizado all in one y entregada junto con tablet el d�a 10/03/17"
p-106074/16,oficina fiscal 4,si,4/11/2016,archivado,,22/11/2016,lo,retira aux. sebastian garcia
p-106613/16,rivadavia-junin,si,4/11/2016,archivado,,9/11/2016,cn,retira aux pp fernando chirino de uid zona este
p2-125642/16,primer juzgado instrucci�n san rafael,si,3/11/2016,archivado,10/11/2016,11/11/2016,cn,retira chofer juan harazik. recibido por jefe de mesa de entradas
p-101342/16,capital,si,7/11/2016,archivado,,11/11/2016,cn,retira aux de ufi capital fenandez mar�a alejandra
p-76975/16 ,san martin,no,7/11/2016,archivado,,9/11/2016,cn,retira aux pp fernando chirino de uid zona este
p-85896/16,godoy cruz,si,8/11/2016,archivado,,23/1/2017,cn,recibe carina de mesa de entradas unidad
p-109312/16,oficina fiscal san martin,no,9/11/2016,archivado,,7/12/2016,cn,retira aux. 1� uid romina sosa
p-102789/16,oficina fiscal palmira,no,9/11/2016,archivado,,7/12/2016,lo,retira aux. 1� uid romina sosa
19227,cuarto juzgado instrucci�n alvear,no,10/11/2016,archivado,18/11/2016,24/11/2016,cn,retira juan arazik. recibio por jefe de mesa de entradas
p-89058/16,santa rosa,si,10/11/2016,archivado,,7/12/2016,cn,retira aux. 1� uid romina sosa
p-100979/16,automotores,si,14/11/2016,archivado,,17/11/2016,cn,retira aux admin. aisha gonzalez de la ufi
p-91654/16,capital,si,15/11/2016,archivado,,21/12/2016,cn,retira aux. feltrer daniel de ufi capital instrucci�n
p-33299/16 segunda,san martin,no,15/11/2016,archivado,,17/11/2016,cn,retira aux. 1� pp. sonia plaza de ufi zona este
p-101095/16,capital,si,15/11/2016,archivado,,6/12/2016,cn,"retira aux. mesa de entradas, daniel feltrer"
p-109488/16,oficina fiscal san martin,no,17/11/2016,archivado,,7/12/2016,cn,retira aux. 1� uid romina sosa
p-115151/16,oficina fiscal 15,no,17/11/2016,archivado,,23/1/2017,cn,ingresa sin turno. dr paez solicita turno via mail. 24/11 08:00hs. recibido por mesa de entradas unidad
p2-125701/16,primer juzgado instrucci�n san rafael,si,29/11/2016,archivado,1/12/2016,2/12/2016,cn,turno otorgado para fecha 29/11/16. retira juan harazik zona sur. recibido por la secretaria dra. monica rivamar
p-112818/16,oficina fiscal 9,si,15/11/2016,archivado,,18/11/2016,cn,retira aux. izura de ofi 9
p2-126015/16,segundo juzgado instrucci�n san rafael,no,18/11/2016,archivado,1/12/2016,2/12/2016,cn,retira juan harazik zona sur. recibido en juzgado
p-113004/16,oficina fiscal 8,entregado personalmente,18/11/2016,archivado,,1/12/2016,cn,"retira secretario de flagrancia, proc. rodrigo asencio."
p-95484/16 segunda,guaymallen,si,17/11/2016,archivado,,28/12/2016,cn,entregado en mesa de entradas de guaymall�n
